Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__CommandSupport__AND__FireControlRapidWeight__AND__SupportAuraDurable,interaction,-0.004869799826397514,,,,,,,,CommandSupport | FireControlRapidWeight | SupportAuraDurable,3,11,0.004869799826397514
INT__CommandSupport__AND__FireControlRapidWeight__AND__TacticianDurable,interaction,-0.004869799826397514,,,,,,,,CommandSupport | FireControlRapidWeight | TacticianDurable,3,11,0.004869799826397514
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Aerial Deployment,interaction,-0.0015051654553603494,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Aerial Deployment,3,6,0.0015051654553603494
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Fire Control,interaction,-0.008685234243211416,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Fire Control,3,12,0.008685234243211416
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Hacker,interaction,-0.026464025313828066,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Hacker,3,14,0.026464025313828066
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Jump Pack,interaction,0.03175219333444415,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Jump Pack,3,9,0.03175219333444415
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Knockback,interaction,-0.021979212752501445,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Knockback,3,6,0.021979212752501445
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Recon(3+),interaction,0.002528192539786481,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Recon(3+),3,3,0.002528192539786481
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Recon(4+),interaction,-0.022516943444113126,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Recon(4+),3,6,0.022516943444113126
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Recon(5+),interaction,0.0070039954727853055,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Recon(5+),3,3,0.0070039954727853055
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Scout,interaction,0.0048593401436842,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Scout,3,14,0.0048593401436842
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Stealthy,interaction,0.03325300946365606,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Stealthy,3,6,0.03325300946365606
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Tactician(1),interaction,-0.030219554194058758,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Tactician(1),3,28,0.030219554194058758
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Tactician(2),interaction,0.03461260352971241,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Tactician(2),3,4,0.03461260352971241
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Teleport,interaction,-0.004869799826397514,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Teleport,3,11,0.004869799826397514
INT__CommandSupport__AND__HasDeploymentTrick__AND__KW_Weight of Fire(1),interaction,0.07089591135979476,,,,,,,,CommandSupport | HasDeploymentTrick | KW_Weight of Fire(1),3,14,0.07089591135979476
INT__CommandSupport__AND__HasDeploymentTrick__AND__MobileMeleeThreat,interaction,-0.053741897501199,,,,,,,,CommandSupport | HasDeploymentTrick | MobileMeleeThreat,3,5,0.053741897501199
INT__CommandSupport__AND__HasDeploymentTrick__AND__MobileShooter,interaction,-0.04218616522198395,,,,,,,,CommandSupport | HasDeploymentTrick | MobileShooter,3,23,0.04218616522198395
INT__CommandSupport__AND__HasDeploymentTrick__AND__SupportAuraDurable,interaction,0.004434649214992016,,,,,,,,CommandSupport | HasDeploymentTrick | SupportAuraDurable,3,14,0.004434649214992016
INT__CommandSupport__AND__HasDeploymentTrick__AND__TacticianDurable,interaction,0.004434649214992016,,,,,,,,CommandSupport | HasDeploymentTrick | TacticianDurable,3,14,0.004434649214992016
INT__CommandSupport__AND__HasMobilityKeyword__AND__KW_Aerial Deployment,interaction,-0.0015051654553603494,,,,,,,,CommandSupport | HasMobilityKeyword | KW_Aerial Deployment,3,6,0.0015051654553603494
INT__CommandSupport__AND__HasMobilityKeyword__AND__KW_Agile,interaction,0.19561492602610722,,,,,,,,CommandSupport | HasMobilityKeyword | KW_Agile,3,6,0.19561492602610722
INT__CommandSupport__AND__HasMobilityKeyword__AND__KW_Construct,interaction,-0.06775588907837066,,,,,,,,CommandSupport | HasMobilityKeyword | KW_Construct,3,3,0.06775588907837066
INT__CommandSupport__AND__HasMobilityKeyword__AND__KW_Dismantle,interaction,-0.031430559242178545,,,,,,,,CommandSupport | HasMobilityKeyword | KW_Dismantle,3,3,0.031430559242178545
