Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__HasWeightOfFire__AND__FireControlSuppression,interaction,0.0022765500847513067,,,,,,,,HasWeightOfFire | FireControlSuppression,2,8,0.0022765500847513067
INT__HasWeightOfFire__AND__FireControlRapidWeight,interaction,0.0017789625179091815,,,,,,,,HasWeightOfFire | FireControlRapidWeight,2,22,0.0017789625179091815
INT__HasWeightOfFire__AND__IndirectBlastFrag,interaction,0.001086334777881477,,,,,,,,HasWeightOfFire | IndirectBlastFrag,2,2,0.001086334777881477
INT__HasWeightOfFire__AND__TacticianDurable,interaction,0.0019038098991596179,,,,,,,,HasWeightOfFire | TacticianDurable,2,27,0.0019038098991596179
INT__HasWeightOfFire__AND__SupportAuraDurable,interaction,0.00026760565276440516,,,,,,,,HasWeightOfFire | SupportAuraDurable,2,28,0.00026760565276440516
INT__HasWeightOfFire__AND__KW_Aerial Deployment,interaction,0.0026450259197801215,,,,,,,,HasWeightOfFire | KW_Aerial Deployment,2,6,0.0026450259197801215
INT__HasWeightOfFire__AND__KW_Agile,interaction,0.00017927835999932224,,,,,,,,HasWeightOfFire | KW_Agile,2,3,0.00017927835999932224
INT__HasWeightOfFire__AND__KW_Augmented,interaction,-0.003897265187350431,,,,,,,,HasWeightOfFire | KW_Augmented,2,3,0.003897265187350431
INT__HasWeightOfFire__AND__KW_Beast,interaction,0.004279876460226443,,,,,,,,HasWeightOfFire | KW_Beast,2,4,0.004279876460226443
INT__HasWeightOfFire__AND__KW_Bike,interaction,0.004432767566363227,,,,,,,,HasWeightOfFire | KW_Bike,2,6,0.004432767566363227
INT__HasWeightOfFire__AND__KW_Charged,interaction,-0.0017414460936315459,,,,,,,,HasWeightOfFire | KW_Charged,2,2,0.0017414460936315459
INT__HasWeightOfFire__AND__KW_Companion,interaction,0.0013548271285263372,,,,,,,,HasWeightOfFire | KW_Companion,2,4,0.0013548271285263372
INT__HasWeightOfFire__AND__KW_Construct,interaction,-0.011259065074339386,,,,,,,,HasWeightOfFire | KW_Construct,2,8,0.011259065074339386
INT__HasWeightOfFire__AND__KW_Dismantle,interaction,0.00236995010226758,,,,,,,,HasWeightOfFire | KW_Dismantle,2,2,0.00236995010226758
INT__HasWeightOfFire__AND__KW_Evade,interaction,0.003723407346759603,,,,,,,,HasWeightOfFire | KW_Evade,2,9,0.003723407346759603
